(0.1, 0.00626808100289296, 0.52)
(0.2, 0.007073386383731211, 0.32)
(0.30000000000000004, 0.008760951188986232, 0.28)
(0.4, 0.009762900976290097, 0.28)
(0.5, 0.011686143572621035, 0.28)
(0.6000000000000001, 0.013435700575815739, 0.28)
(0.7000000000000001, 0.013363028953229399, 0.24)
(0.8, 0.010416666666666666, 0.16)
(0.9, 0.010582010582010581, 0.16)
(1.0, 0.010869565217391304, 0.16)
(1.1, 0.007874015748031496, 0.08)
(1.2000000000000002, 0.008130081300813009, 0.08)
(1.3, 0.011428571428571429, 0.08)
(1.4000000000000001, 0.011976047904191617, 0.08)
(1.5, 0.0, 0.0)
(1.6, 0.0, 0.0)
(1.7000000000000002, 0.0, 0.0)
(1.8, 0.0, 0.0)
(1.9000000000000001, 0.0, 0.0)
(2.0, 0.0, 0.0)
(2.1, 0.0, 0.0)
(2.2, 0.0, 0.0)
(2.3000000000000003, 0.0, 0.0)
(2.4000000000000004, 0.0, 0.0)
(2.5, 0.0, 0.0)
(2.6, 0.0, 0.0)
(2.7, 0.0, 0.0)
(2.8000000000000003, 0.0, 0.0)
(2.9000000000000004, 0.0, 0.0)
(3.0, 0.0, 0.0)
(3.1, 0.0, 0.0)
(3.2, 0.0, 0.0)
(3.3000000000000003, 0.0, 0.0)
(3.4000000000000004, 0.0, 0.0)
(3.5, 0.0, 0.0)
(3.6, 0.0, 0.0)
(3.7, 0.0, 0.0)
(3.8000000000000003, 0.0, 0.0)
(3.9000000000000004, 0.0, 0.0)
(4.0, 0.0, 0.0)
(4.1000000000000005, 0.0, 0.0)
(4.2, 0.0, 0.0)
(4.3, 0.0, 0.0)
(4.4, 0.0, 0.0)
(4.5, 0.0, 0.0)
(4.6000000000000005, 0.0, 0.0)
(4.7, 0.0, 0.0)
(4.800000000000001, 0.0, 0.0)
(4.9, 0.0, 0.0)
(5.0, 0.0, 0.0)
