('2006', '01', 0.1, -1.0, -1.0)
('2006', '02', 0.1, -1.0, -1.0)
('2006', '03', 0.1, -1.0, -1.0)
('2006', '04', 0.1, -1.0, -1.0)
('2006', '05', 0.1, -1.0, -1.0)
('2006', '06', 0.1, 0.0, -1.0)
('2006', '07', 0.1, -1.0, -1.0)
('2006', '08', 0.1, -1.0, -1.0)
('2006', '09', 0.1, -1.0, -1.0)
('2006', '10', 0.1, -1.0, -1.0)
('2006', '11', 0.1, -1.0, -1.0)
('2007', '01', 0.1, 0.0, -1.0)
('2007', '02', 0.1, 0.0, -1.0)
('2007', '03', 0.1, 0.0, -1.0)
('2007', '04', 0.1, 0.0, -1.0)
('2007', '05', 0.1, 0.0, -1.0)
('2007', '06', 0.1, 0.0, -1.0)
('2007', '07', 0.1, 0.0, -1.0)
('2007', '08', 0.1, 0.0, -1.0)
('2007', '09', 0.1, 0.0, -1.0)
('2007', '10', 0.1, 0.0, -1.0)
('2007', '11', 0.1, 0.0, -1.0)
('2008', '01', 0.1, 0.011494252873563218, 1.0)
('2008', '02', 0.1, 0.0, -1.0)
('2008', '03', 0.1, 0.0, -1.0)
('2008', '04', 0.1, 0.0, -1.0)
('2008', '05', 0.1, 0.0, -1.0)
('2008', '06', 0.1, 0.0, -1.0)
('2008', '07', 0.1, 0.0, -1.0)
('2008', '08', 0.1, 0.0, -1.0)
('2008', '09', 0.1, 0.0, -1.0)
('2008', '10', 0.1, 0.0, -1.0)
('2008', '11', 0.1, 0.0, -1.0)
('2009', '01', 0.1, 0.0, -1.0)
('2009', '02', 0.1, 0.0, -1.0)
('2009', '03', 0.1, 0.0, -1.0)
('2009', '04', 0.1, 0.0, -1.0)
('2009', '05', 0.1, 0.010101010101010102, 1.0)
('2009', '06', 0.1, 0.0, -1.0)
('2009', '07', 0.1, 0.0, -1.0)
('2009', '08', 0.1, 0.0, -1.0)
('2009', '09', 0.1, 0.0, -1.0)
('2009', '10', 0.1, 0.0, -1.0)
('2009', '11', 0.1, 0.009174311926605505, 1.0)
('2010', '01', 0.1, 0.0, -1.0)
('2010', '02', 0.1, 0.0, -1.0)
('2010', '03', 0.1, 0.009174311926605505, 1.0)
('2010', '04', 0.1, 0.0, -1.0)
('2010', '05', 0.1, 0.0, -1.0)
('2010', '06', 0.1, 0.0, -1.0)
('2010', '07', 0.1, 0.0, -1.0)
('2010', '08', 0.1, 0.009345794392523364, 1.0)
('2010', '09', 0.1, 0.025, 1.0)
('2010', '10', 0.1, 0.0, -1.0)
('2010', '11', 0.1, 0.0, -1.0)
('2011', '01', 0.1, 0.005952380952380952, 1.0)
('2011', '02', 0.1, 0.0, -1.0)
('2011', '03', 0.1, 0.0, -1.0)
('2011', '04', 0.1, 0.0, -1.0)
('2011', '05', 0.1, 0.02564102564102564, 1.0)
('2011', '06', 0.1, 0.0, -1.0)
('2011', '07', 0.1, 0.0, -1.0)
('2011', '08', 0.1, 0.0, -1.0)
('2011', '09', 0.1, 0.0, -1.0)
('2011', '10', 0.1, 0.0, -1.0)
('2011', '11', 0.1, 0.0, -1.0)
('2012', '01', 0.1, 0.006042296072507553, 1.0)
('2012', '02', 0.1, 0.0029411764705882353, 1.0)
('2012', '03', 0.1, 0.0, -1.0)
